date,lat,long,num_pickups
11/28/2009,41.366138,-73.137393,911
1/2/2009,41.366138,-73.137393,907
1/12/2009,41.366138,-73.137393,903
9/10/2009,41.366138,-73.137393,903
9/15/2009,41.366138,-73.137393,892
12/31/2009,41.366138,-73.137393,886
12/29/2009,41.366138,-73.137393,885
12/14/2009,41.366138,-73.137393,883
1/5/2009,41.366138,-73.137393,877
12/22/2009,41.366138,-73.137393,874
10/6/2009,41.366138,-73.137393,873
9/29/2009,41.366138,-73.137393,863
9/11/2009,41.366138,-73.137393,849
1/23/2009,41.366138,-73.137393,839
1/1/2009,41.366138,-73.137393,828
12/21/2009,41.366138,-73.137393,813
9/25/2009,41.366138,-73.137393,812
10/12/2009,41.366138,-73.137393,812
1/24/2009,41.366138,-73.137393,811
10/5/2009,41.366138,-73.137393,808
1/15/2009,41.366138,-73.137393,805
12/24/2009,41.366138,-73.137393,802
1/3/2009,41.366138,-73.137393,801
10/3/2009,41.366138,-73.137393,800
11/22/2009,41.366138,-73.137393,795
4/29/2009,41.366138,-73.137393,781
4/30/2009,41.366138,-73.137393,781
9/24/2009,41.366138,-73.137393,780
12/6/2009,41.366138,-73.137393,778
8/5/2009,41.366138,-73.137393,776
9/14/2009,41.366138,-73.137393,774
9/26/2009,41.366138,-73.137393,771
8/11/2009,41.366138,-73.137393,766
9/23/2009,41.366138,-73.137393,760
8/13/2009,41.366138,-73.137393,757
9/3/2009,41.366138,-73.137393,756
8/28/2009,41.366138,-73.137393,755
9/19/2009,41.366138,-73.137393,754
5/1/2009,41.366138,-73.137393,746
7/30/2009,41.366138,-73.137393,743
9/9/2009,41.366138,-73.137393,742
1/17/2009,41.366138,-73.137393,741
4/25/2009,41.366138,-73.137393,740
7/29/2009,41.366138,-73.137393,738
9/28/2009,41.366138,-73.137393,738
8/14/2009,41.366138,-73.137393,735
12/28/2009,41.366138,-73.137393,733
1/21/2009,41.366138,-73.137393,732
4/2/2009,41.366138,-73.137393,728
11/8/2009,41.366138,-73.137393,726
12/13/2009,41.366138,-73.137393,725
1/22/2009,41.366138,-73.137393,724
4/10/2009,41.366138,-73.137393,723
11/15/2009,41.366138,-73.137393,722
7/15/2009,41.366138,-73.137393,722
8/6/2009,41.366138,-73.137393,720
8/21/2009,41.366138,-73.137393,720
7/21/2009,41.366138,-73.137393,719
4/4/2009,41.366138,-73.137393,718
4/3/2009,41.366138,-73.137393,716
3/5/2009,41.366138,-73.137393,715
4/18/2009,41.366138,-73.137393,714
9/12/2009,41.366138,-73.137393,714
7/31/2009,41.366138,-73.137393,713
7/28/2009,41.366138,-73.137393,710
10/25/2009,41.366138,-73.137393,707
4/24/2009,41.366138,-73.137393,707
4/22/2009,41.366138,-73.137393,706
3/6/2009,41.366138,-73.137393,705
4/28/2009,41.366138,-73.137393,704
9/21/2009,41.366138,-73.137393,701
1/20/2009,41.366138,-73.137393,698
8/27/2009,41.366138,-73.137393,694
8/4/2009,41.366138,-73.137393,692
9/22/2009,41.366138,-73.137393,687
11/27/2009,41.366138,-73.137393,685
11/29/2009,41.366138,-73.137393,682
2/19/2009,41.366138,-73.137393,682
8/7/2009,41.366138,-73.137393,681
6/26/2009,41.366138,-73.137393,678
8/26/2009,41.366138,-73.137393,674
8/18/2009,41.366138,-73.137393,674
8/10/2009,41.366138,-73.137393,671
2/13/2009,41.366138,-73.137393,670
4/23/2009,41.366138,-73.137393,667
7/17/2009,41.366138,-73.137393,666
3/7/2009,41.366138,-73.137393,664
7/27/2009,41.366138,-73.137393,663
10/4/2009,41.366138,-73.137393,660
3/27/2009,41.366138,-73.137393,660
2/20/2009,41.366138,-73.137393,659
3/24/2009,41.366138,-73.137393,658
4/27/2009,41.366138,-73.137393,656
3/20/2009,41.366138,-73.137393,655
2/27/2009,41.366138,-73.137393,652
4/9/2009,41.366138,-73.137393,651
9/2/2009,41.366138,-73.137393,650
7/24/2009,41.366138,-73.137393,650
2/12/2009,41.366138,-73.137393,648
9/8/2009,41.366138,-73.137393,648
5/16/2009,41.366138,-73.137393,647
10/11/2009,41.366138,-73.137393,646
8/20/2009,41.366138,-73.137393,646
7/9/2009,41.366138,-73.137393,645
6/9/2009,41.366138,-73.137393,645
3/28/2009,41.366138,-73.137393,644
4/7/2009,41.366138,-73.137393,643
7/23/2009,41.366138,-73.137393,642
4/8/2009,41.366138,-73.137393,641
10/18/2009,41.366138,-73.137393,641
2/14/2009,41.366138,-73.137393,640
7/14/2009,41.366138,-73.137393,639
5/20/2009,41.366138,-73.137393,639
6/4/2009,41.366138,-73.137393,637
6/17/2009,41.366138,-73.137393,634
4/17/2009,41.366138,-73.137393,633
8/3/2009,41.366138,-73.137393,633
6/24/2009,41.366138,-73.137393,632
2/26/2009,41.366138,-73.137393,631
9/13/2009,41.366138,-73.137393,630
3/26/2009,41.366138,-73.137393,630
9/1/2009,41.366138,-73.137393,629
4/1/2009,41.366138,-73.137393,628
8/31/2009,41.366138,-73.137393,626
8/8/2009,41.366138,-73.137393,625
5/29/2009,41.366138,-73.137393,625
7/10/2009,41.366138,-73.137393,620
3/31/2009,41.366138,-73.137393,619
3/4/2009,41.366138,-73.137393,614
7/1/2009,41.366138,-73.137393,612
8/25/2009,41.366138,-73.137393,612
4/16/2009,41.366138,-73.137393,612
6/18/2009,41.366138,-73.137393,611
6/3/2009,41.366138,-73.137393,611
7/18/2009,41.366138,-73.137393,611
5/8/2009,41.366138,-73.137393,610
8/12/2009,41.366138,-73.137393,609
9/27/2009,41.366138,-73.137393,607
3/13/2009,41.366138,-73.137393,606
6/25/2009,41.366138,-73.137393,605
5/6/2009,41.366138,-73.137393,604
2/24/2009,41.366138,-73.137393,602
6/11/2009,41.366138,-73.137393,602
2/18/2009,41.366138,-73.137393,600
4/21/2009,41.366138,-73.137393,599
2/10/2009,41.366138,-73.137393,598
6/19/2009,41.366138,-73.137393,597
6/12/2009,41.366138,-73.137393,597
